driver_id,name,city,signup_date,time,rating
1,Driver_1,Toronto,2021/02/08,8:28:00 PM,4.7
2,Driver_2,San Francisco,2022/01/16,10:13:00 AM,4.4
3,Driver_3,Boston,2021/08/05,6:21:00 PM,4.8
4,Driver_4,Toronto,2023/11/18,5:11:00 AM,5
5,Driver_5,Calgary,2021/05/16,1:18:00 AM,4.4
6,Driver_6,Ottawa,2022/10/18,10:23:00 AM,4.4
7,Driver_7,New York,2021/02/16,6:55:00 AM,5
8,Driver_8,Toronto,2021/12/06,3:24:00 PM,4.9
9,Driver_9,Boston,2023/02/25,1:00:00 AM,4.3
10,Driver_10,Ottawa,2021/02/11,5:19:00 AM,4.8
11,Driver_11,Calgary,2021/11/05,9:12:00 PM,4.3
12,Driver_12,Calgary,2022/10/14,4:49:00 PM,4.3
13,Driver_13,Boston,2022/11/29,7:43:00 PM,4.6
14,Driver_14,Ottawa,2022/03/09,3:42:00 AM,3.5
15,Driver_15,New York,2021/09/06,12:31:00 AM,3.6
16,Driver_16,Montreal,2022/06/13,1:27:00 PM,4.2
17,Driver_17,San Francisco,2021/08/30,12:41:00 PM,4
18,Driver_18,Boston,2022/06/07,9:09:00 PM,4.7
19,Driver_19,Toronto,2021/05/25,1:48:00 AM,4
20,Driver_20,Montreal,2021/05/31,5:50:00 AM,3.8
21,Driver_21,Los Angeles,2022/06/19,7:35:00 AM,5
22,Driver_22,Ottawa,2022/02/15,10:03:00 PM,4.4
23,Driver_23,New York,2022/12/15,4:36:00 PM,4.5
24,Driver_24,Calgary,2021/07/13,9:51:00 PM,3.8
25,Driver_25,Montreal,2021/05/03,9:53:00 AM,4.2
26,Driver_26,Calgary,2022/04/01,10:28:00 AM,4.6
27,Driver_27,Ottawa,2022/07/16,6:43:00 PM,3.9
28,Driver_28,Ottawa,2021/10/26,5:02:00 PM,4.7
29,Driver_29,Toronto,2021/03/13,4:27:00 AM,4.2
30,Driver_30,Boston,2022/03/26,1:09:00 PM,4.4
31,Driver_31,Toronto,2021/12/28,3:04:00 PM,4.2
32,Driver_32,Toronto,2022/08/14,12:07:00 PM,5
33,Driver_33,San Francisco,2022/12/06,8:21:00 AM,4.5
34,Driver_34,Los Angeles,2021/09/10,4:11:00 PM,4
35,Driver_35,Los Angeles,2022/07/06,9:27:00 PM,4.9
36,Driver_36,Boston,2023/11/08,1:56:00 AM,3.9
37,Driver_37,San Francisco,2023/12/27,5:45:00 AM,4.6
38,Driver_38,Toronto,2023/08/05,6:02:00 AM,3.5
39,Driver_39,Chicago,2023/04/10,6:10:00 PM,3.8
40,Driver_40,Boston,2021/09/11,8:05:00 PM,4.6
41,Driver_41,Vancouver,2022/08/13,11:07:00 AM,4.9
42,Driver_42,San Francisco,2023/09/22,4:55:00 AM,4.6
43,Driver_43,Calgary,2021/12/08,3:50:00 AM,4.4
44,Driver_44,Los Angeles,2021/03/28,9:31:00 PM,4.3
45,Driver_45,Boston,2021/02/19,8:47:00 PM,3.8
46,Driver_46,Los Angeles,2022/09/16,4:30:00 AM,4.1
47,Driver_47,San Francisco,2021/04/13,7:41:00 PM,4.3
48,Driver_48,Boston,2023/06/01,2:00:00 AM,5
49,Driver_49,Los Angeles,2021/11/27,7:17:00 AM,4.7
50,Driver_50,Vancouver,2022/09/07,2:13:00 PM,3.6
51,Driver_51,Vancouver,2021/08/10,10:38:00 PM,4.7
52,Driver_52,San Francisco,2021/08/05,9:47:00 PM,4.3
53,Driver_53,Boston,2023/05/23,1:19:00 AM,4.2
54,Driver_54,Calgary,2022/02/13,3:43:00 AM,4.8
55,Driver_55,Ottawa,2022/10/28,1:10:00 PM,5
56,Driver_56,Ottawa,2022/09/13,10:43:00 AM,5
57,Driver_57,Los Angeles,2021/12/07,4:52:00 PM,4.1
58,Driver_58,Chicago,2023/03/03,12:31:00 PM,4.3
59,Driver_59,Vancouver,2021/05/22,5:20:00 AM,4.7
60,Driver_60,New York,2021/06/20,8:00:00 AM,5
61,Driver_61,Chicago,2023/09/02,4:53:00 PM,4.3
62,Driver_62,Chicago,2023/11/24,2:10:00 AM,4.4
63,Driver_63,Montreal,2023/07/16,11:44:00 AM,3.9
64,Driver_64,Toronto,2022/08/21,5:09:00 PM,3.9
65,Driver_65,Montreal,2023/07/15,4:19:00 PM,4.9
66,Driver_66,Vancouver,2023/04/02,10:48:00 PM,5
67,Driver_67,San Francisco,2023/05/10,9:45:00 AM,4.5
68,Driver_68,New York,2023/11/23,6:48:00 PM,5
69,Driver_69,Toronto,2023/11/26,12:00:00 AM,4.7
70,Driver_70,Calgary,2022/02/19,11:57:00 AM,4.2
71,Driver_71,Los Angeles,2021/06/23,6:57:00 AM,4.7
72,Driver_72,San Francisco,2022/11/07,9:13:00 AM,5
73,Driver_73,Chicago,2022/12/06,8:02:00 PM,4.5
74,Driver_74,New York,2022/02/14,3:51:00 AM,5
75,Driver_75,Calgary,2021/10/05,12:37:00 PM,3.2
76,Driver_76,Calgary,2021/06/15,7:16:00 AM,4.9
77,Driver_77,San Francisco,2023/09/20,1:45:00 PM,4.5
78,Driver_78,Calgary,2023/08/05,12:03:00 AM,4.4
79,Driver_79,Boston,2021/08/26,10:15:00 AM,4.5
80,Driver_80,Los Angeles,2021/09/08,10:59:00 PM,3.5
81,Driver_81,Calgary,2023/04/04,9:01:00 PM,4.4
82,Driver_82,New York,2023/07/20,10:16:00 AM,4.7
83,Driver_83,Los Angeles,2023/01/30,12:32:00 AM,5
84,Driver_84,New York,2021/06/23,6:43:00 PM,4.2
85,Driver_85,Los Angeles,2022/04/23,4:57:00 PM,4.1
86,Driver_86,Boston,2021/03/31,11:36:00 PM,4.2
87,Driver_87,Boston,2023/06/01,8:35:00 AM,5
88,Driver_88,Toronto,2021/05/14,1:23:00 AM,4.7
89,Driver_89,Vancouver,2021/04/18,12:25:00 PM,4.2
90,Driver_90,Calgary,2021/07/15,8:41:00 AM,4.8
91,Driver_91,Chicago,2023/10/22,9:17:00 PM,4.5
92,Driver_92,Vancouver,2023/05/05,2:09:00 AM,5
93,Driver_93,Chicago,2022/02/16,6:01:00 PM,4.1
