payment_id,ride_id,amount,method,paid_date,time
1,1,32.26,paypal,2022/01/27,10:42:00 AM
4,4,26.73,cash,2021/02/26,3:34:00 AM
5,5,55.85,card,2024/08/17,3:43:00 AM
6,6,7.2,voucher,2024/09/22,1:34:00 PM
7,7,26.4,card,2021/05/26,7:58:00 AM
8,8,78.47,voucher,2023/11/26,6:19:00 PM
9,9,24.19,cash,2022/12/16,12:03:00 AM
11,11,25.29,voucher,2023/11/27,12:41:00 PM
12,12,68.67,paypal,2024/08/29,11:10:00 PM
13,13,41.05,cash,2022/01/21,5:53:00 AM
14,14,57.71,cash,2021/09/10,12:28:00 AM
16,16,46.83,card,2024/07/30,9:00:00 PM
17,17,21.44,cash,2021/12/30,8:04:00 AM
18,18,8.01,card,2022/07/16,9:15:00 PM
19,19,51.78,card,2023/10/17,3:02:00 AM
20,20,38.69,voucher,2024/04/11,12:42:00 PM
21,21,61.34,card,2023/10/03,11:05:00 AM
22,22,8.89,cash,2021/07/29,6:41:00 AM
23,23,25.83,paypal,2021/12/03,6:26:00 AM
26,26,77.94,paypal,2023/08/26,11:55:00 AM
27,27,11.38,card,2023/07/23,8:19:00 AM
28,28,36.16,cash,2024/06/04,1:33:00 PM
29,29,8.52,cash,2022/07/23,12:35:00 AM
31,31,70.9,card,2023/11/05,11:22:00 AM
32,32,14.81,paypal,2024/09/03,1:24:00 PM
33,33,15.35,cash,2024/05/21,5:07:00 PM
34,34,40.64,voucher,2021/11/06,5:56:00 PM
35,35,18.2,voucher,2022/08/24,5:06:00 PM
36,36,7.55,voucher,2021/11/21,3:00:00 AM
38,38,58.35,paypal,2021/05/17,12:39:00 AM
39,39,22.27,card,2024/12/31,4:46:00 AM
40,40,28.67,paypal,2021/06/25,8:29:00 AM
41,41,60.72,voucher,2022/01/08,6:02:00 AM
42,42,29.14,voucher,2024/12/20,2:29:00 PM
43,43,67.57,card,2022/01/21,12:27:00 AM
44,44,9.44,paypal,2022/04/25,11:38:00 PM
46,46,25.26,paypal,2024/12/31,1:17:00 PM
47,47,13.92,paypal,2022/07/27,6:44:00 AM
48,48,35.73,cash,2022/05/10,1:08:00 PM
49,49,12.68,card,2024/10/13,8:23:00 AM
50,50,39.8,cash,2021/06/24,4:16:00 PM
51,51,61.44,cash,2022/06/15,11:28:00 AM
52,52,68.5,cash,2021/07/25,4:20:00 AM
54,54,21.15,paypal,2021/08/25,11:05:00 PM
55,55,58.77,voucher,2023/10/06,8:32:00 AM
56,56,28.95,card,2024/08/23,7:14:00 AM
59,59,60.05,card,2023/09/02,9:45:00 PM
60,60,22.87,paypal,2021/11/04,7:27:00 PM
61,61,26.59,voucher,2022/08/31,2:18:00 AM
62,62,46.22,card,2023/09/08,1:10:00 PM
63,63,80.72,voucher,2023/08/15,12:27:00 AM
65,65,26.94,paypal,2023/03/23,7:00:00 AM
66,66,19.42,paypal,2023/12/14,8:45:00 AM
67,67,51.59,voucher,2022/10/26,2:23:00 AM
68,68,53.71,voucher,2021/03/18,1:54:00 AM
69,69,30.11,paypal,2024/05/09,1:17:00 AM
70,70,31.9,voucher,2021/03/01,11:11:00 PM
71,71,51.01,voucher,2023/09/29,6:00:00 PM
72,72,4.79,voucher,2023/05/21,7:43:00 AM
74,74,25.22,paypal,2022/05/19,8:28:00 PM
75,75,15.13,voucher,2021/08/26,8:02:00 AM
76,76,37.32,voucher,2022/01/30,5:21:00 AM
77,77,7.36,cash,2024/02/15,3:37:00 PM
78,78,25.33,paypal,2022/08/01,7:12:00 AM
79,79,81.43,cash,2024/05/25,7:28:00 PM
82,82,72.52,paypal,2023/10/23,6:43:00 AM
83,83,30.27,voucher,2024/05/03,6:57:00 PM
86,86,81.76,paypal,2021/05/15,9:23:00 AM
87,87,59.55,card,2022/10/28,7:40:00 AM
88,88,59.18,paypal,2021/11/25,2:54:00 PM
89,89,54.3,voucher,2023/01/12,6:21:00 AM
90,90,53.63,cash,2021/09/03,10:45:00 PM
91,91,12.04,card,2021/07/31,6:23:00 AM
92,92,17.41,paypal,2022/01/14,1:45:00 PM
94,94,4.86,voucher,2021/04/26,6:43:00 AM
95,95,34.15,voucher,2021/10/16,12:45:00 AM
96,96,32.24,cash,2023/06/16,12:46:00 AM
97,97,80.92,voucher,2022/01/04,2:33:00 PM
98,98,35.76,cash,2021/06/29,3:00:00 AM
100,100,27.17,card,2021/03/12,11:51:00 PM
101,101,48.25,voucher,2022/06/27,9:04:00 AM
102,102,28.7,paypal,2022/12/10,1:45:00 PM
103,103,8.19,card,2022/10/16,8:39:00 PM
104,104,2.95,voucher,2022/09/15,7:55:00 PM
105,105,74.61,card,2021/05/19,8:24:00 AM
106,106,48.38,card,2021/02/22,1:10:00 PM
107,107,39.19,card,2022/05/04,10:47:00 PM
109,109,73.91,voucher,2021/06/20,7:42:00 PM
110,110,35.1,voucher,2022/05/14,7:32:00 PM
111,111,45.32,paypal,2022/07/26,5:29:00 PM
112,112,60.57,voucher,2021/11/17,2:34:00 PM
115,115,33.14,paypal,2022/02/11,2:59:00 PM
116,116,58.09,voucher,2024/10/25,12:36:00 AM
117,117,42.95,voucher,2022/01/16,12:45:00 AM
118,118,11.71,cash,2021/12/18,6:44:00 PM
119,119,5.34,paypal,2021/08/15,11:23:00 PM
121,121,23.01,voucher,2024/04/12,12:43:00 AM
122,122,12.1,voucher,2021/01/13,11:14:00 AM
123,123,24.88,voucher,2024/08/29,4:47:00 PM
124,124,63.54,cash,2021/10/27,10:11:00 AM
125,125,33.33,card,2024/08/27,4:15:00 PM
126,126,24.2,card,2023/05/31,9:21:00 AM
128,128,35.92,card,2021/07/31,9:10:00 PM
129,129,13.84,voucher,2022/07/08,11:08:00 AM
130,130,18.38,card,2023/09/03,3:17:00 PM
131,131,70.5,paypal,2024/06/06,9:17:00 AM
132,132,51.84,voucher,2022/07/15,1:18:00 AM
133,133,60.23,voucher,2021/12/10,7:03:00 PM
134,134,48.39,cash,2021/11/15,12:54:00 AM
135,135,68.21,cash,2024/08/25,8:58:00 PM
138,138,61.21,cash,2024/05/14,1:19:00 PM
140,140,56.76,paypal,2024/10/13,11:02:00 AM
141,141,71.88,cash,2021/11/19,10:20:00 PM
142,142,20.34,voucher,2021/03/14,10:33:00 PM
143,143,37.96,voucher,2022/06/10,2:53:00 PM
144,144,12.88,voucher,2021/08/27,5:49:00 AM
145,145,39.8,voucher,2022/09/16,9:39:00 AM
146,146,71.26,cash,2021/12/07,11:17:00 PM
147,147,12.03,voucher,2024/10/31,1:22:00 PM
148,148,72.05,paypal,2024/08/22,2:43:00 PM
149,149,39.55,cash,2024/10/28,12:29:00 AM
150,150,64.87,cash,2021/05/02,2:00:00 PM
152,152,64.62,paypal,2021/07/17,10:14:00 AM
155,155,41.9,voucher,2022/11/14,1:56:00 PM
156,156,28.11,paypal,2024/02/08,12:26:00 PM
157,157,51.65,paypal,2021/06/14,12:37:00 PM
158,158,60.82,voucher,2022/07/13,10:32:00 PM
159,159,48.05,voucher,2024/05/10,3:02:00 AM
161,161,49.16,voucher,2022/09/05,10:05:00 AM
162,162,29.35,cash,2022/01/20,8:28:00 AM
163,163,24.13,cash,2021/10/17,10:48:00 AM
164,164,76.36,paypal,2022/12/13,7:37:00 AM
166,166,37.32,paypal,2024/08/21,8:14:00 AM
167,167,34.11,voucher,2021/08/23,4:09:00 PM
168,168,23.9,voucher,2023/07/19,7:11:00 AM
169,169,26.83,cash,2024/11/07,9:48:00 AM
170,170,68.88,voucher,2021/09/12,2:04:00 AM
172,172,13.53,cash,2021/10/26,8:40:00 PM
173,173,44.75,paypal,2022/03/27,9:11:00 AM
174,174,77.62,cash,2023/03/02,2:31:00 AM
175,175,53.42,card,2021/09/16,5:50:00 AM
176,176,30.14,card,2022/06/27,6:51:00 PM
177,177,68.47,card,2022/02/04,9:11:00 PM
178,178,79.24,voucher,2024/09/25,10:43:00 AM
179,179,22.72,voucher,2024/12/02,5:28:00 AM
180,180,47.03,card,2021/08/27,4:09:00 PM
181,181,46.5,cash,2024/06/11,1:39:00 PM
182,182,79.52,paypal,2023/07/10,11:48:00 AM
183,183,25.83,cash,2021/03/07,8:23:00 AM
184,184,11.38,paypal,2021/12/28,8:10:00 AM
185,185,17.94,card,2023/08/25,10:30:00 PM
186,186,35.49,card,2023/10/28,8:24:00 AM
187,187,58.79,cash,2021/05/31,8:57:00 PM
188,188,45.61,cash,2022/02/28,1:15:00 PM
189,189,52.26,card,2024/08/14,6:11:00 AM
190,190,61.33,cash,2023/10/27,1:32:00 PM
191,191,19.56,card,2022/10/11,1:48:00 AM
192,192,22.33,card,2023/06/25,11:07:00 AM
193,193,60.72,card,2022/04/26,12:52:00 PM
196,196,46.2,cash,2024/09/13,9:27:00 PM
197,197,59.17,cash,2022/04/06,4:08:00 AM
198,198,16.29,card,2021/08/14,12:20:00 AM
199,199,43.91,card,2022/03/18,6:01:00 PM
201,201,64.03,paypal,2024/07/06,5:24:00 AM
202,202,21.91,paypal,2023/12/09,10:35:00 PM
203,203,43.62,card,2023/05/04,5:22:00 PM
205,205,34.19,card,2021/09/08,2:30:00 PM
206,206,41.32,paypal,2022/05/15,8:39:00 PM
207,207,76.19,card,2022/01/01,1:18:00 AM
208,208,31.1,paypal,2022/10/12,6:46:00 AM
209,209,10.13,voucher,2023/08/08,9:19:00 PM
210,210,24.18,card,2024/07/01,11:04:00 PM
211,211,58.18,paypal,2023/05/14,11:23:00 AM
212,212,22.22,paypal,2024/06/19,10:10:00 AM
213,213,40.2,card,2023/09/08,11:22:00 AM
216,216,28.78,card,2021/06/04,1:56:00 AM
218,218,33.52,card,2024/10/23,9:27:00 AM
221,221,31.76,voucher,2023/08/01,12:08:00 PM
222,222,56.76,cash,2023/07/11,9:43:00 PM
223,223,16.63,cash,2023/10/24,11:35:00 AM
224,224,8.64,card,2023/12/18,3:04:00 AM
225,225,36.08,cash,2024/07/12,11:54:00 AM
226,226,12.24,voucher,2023/05/29,12:50:00 PM
227,227,16.58,paypal,2022/11/08,1:01:00 AM
228,228,22.74,card,2024/08/31,1:04:00 PM
229,229,21.17,cash,2023/08/18,1:10:00 AM
231,231,48.41,paypal,2022/04/22,11:03:00 PM
232,232,39.05,cash,2022/09/23,3:57:00 AM
233,233,55.9,card,2022/04/15,2:12:00 PM
235,235,45.18,paypal,2022/08/15,3:13:00 PM
236,236,8.14,cash,2021/01/16,9:53:00 AM
237,237,53.55,voucher,2021/09/23,1:23:00 PM
238,238,70.04,paypal,2022/09/09,7:17:00 AM
239,239,39.79,voucher,2023/04/26,4:41:00 PM
240,240,10.91,card,2021/12/11,1:23:00 AM
241,241,46.85,cash,2023/01/20,12:54:00 PM
242,242,6.26,paypal,2023/01/06,11:05:00 PM
244,244,44.55,paypal,2023/11/22,9:04:00 PM
245,245,43.05,cash,2023/09/30,1:34:00 AM
246,246,62.61,card,2024/04/06,10:39:00 PM
248,248,25.41,cash,2021/07/03,8:13:00 PM
249,249,40.25,cash,2021/06/25,2:30:00 PM
250,250,3.44,paypal,2021/12/25,6:07:00 PM
252,252,74.62,paypal,2024/12/14,10:12:00 AM
253,253,19.04,voucher,2021/08/09,7:13:00 AM
254,254,9.44,card,2023/07/18,12:56:00 AM
255,255,60.53,paypal,2021/10/04,11:59:00 PM
256,256,8.03,voucher,2021/12/01,6:16:00 PM
257,257,44.67,voucher,2022/04/23,10:14:00 AM
258,258,54.52,cash,2023/07/17,9:50:00 PM
259,259,64.8,paypal,2021/12/16,9:59:00 PM
261,261,16.98,voucher,2021/01/06,5:23:00 AM
262,262,54.25,paypal,2024/09/11,9:17:00 PM
263,263,75.67,paypal,2022/12/21,6:50:00 PM
264,264,62.31,voucher,2022/01/18,7:05:00 PM
265,265,71.44,voucher,2022/05/20,11:13:00 AM
266,266,19.6,card,2024/01/13,8:26:00 AM
267,267,21.86,card,2023/01/31,2:09:00 AM
268,268,21.37,cash,2021/03/23,4:34:00 AM
269,269,66.14,paypal,2022/11/28,8:43:00 AM
270,270,8.82,voucher,2021/11/30,6:38:00 PM
271,271,69.02,paypal,2024/02/29,7:51:00 PM
272,272,21.19,card,2022/07/08,4:26:00 PM
273,273,70.44,card,2024/11/01,3:45:00 AM
274,274,27.47,cash,2021/02/17,1:40:00 AM
275,275,17.32,voucher,2024/05/08,9:45:00 AM
277,277,53.98,paypal,2021/09/30,12:36:00 AM
278,278,54.66,paypal,2023/01/09,6:08:00 AM
279,279,0.26,card,2021/04/08,6:39:00 AM
280,280,69.61,card,2024/07/16,2:20:00 AM
281,281,5.17,cash,2021/06/07,7:01:00 PM
284,284,67.4,cash,2021/12/15,6:46:00 PM
285,285,17.36,cash,2024/10/12,1:03:00 PM
286,286,33.27,card,2023/08/06,12:29:00 AM
288,288,2.38,cash,2024/11/08,8:35:00 AM
289,289,10.88,paypal,2023/07/13,12:14:00 PM
290,290,48.37,voucher,2022/04/04,12:25:00 AM
291,291,25.79,paypal,2022/07/30,9:46:00 PM
292,292,43.31,card,2023/09/14,4:19:00 PM
293,293,66.65,paypal,2021/06/22,5:24:00 PM
296,296,35.41,paypal,2021/05/08,8:04:00 AM
297,297,28.02,cash,2022/05/26,4:57:00 PM
298,298,72.79,paypal,2022/08/31,6:39:00 PM
301,301,47.32,cash,2021/01/18,4:52:00 PM
302,302,52.02,card,2024/08/07,3:20:00 AM
303,303,73.28,card,2022/05/06,8:54:00 AM
304,304,57.33,paypal,2024/05/11,5:06:00 AM
305,305,26.99,card,2024/01/27,12:27:00 PM
306,306,51.53,cash,2024/03/05,2:55:00 AM
307,307,43.06,cash,2021/01/17,7:06:00 AM
308,308,21.49,cash,2021/07/28,8:32:00 PM
309,309,54.27,card,2023/06/11,4:34:00 PM
311,311,35.23,voucher,2021/11/26,4:15:00 PM
312,312,52.84,paypal,2023/12/20,1:56:00 AM
313,313,45.1,card,2024/11/22,10:40:00 AM
314,314,7.63,cash,2023/06/02,10:33:00 PM
315,315,16.84,voucher,2021/01/12,2:39:00 AM
316,316,64.67,paypal,2022/07/24,5:18:00 PM
318,318,63.01,card,2022/06/23,3:13:00 PM
319,319,83.26,voucher,2023/11/21,1:39:00 PM
321,321,63.95,card,2021/01/08,7:35:00 AM
324,324,28.61,card,2024/07/10,3:22:00 PM
325,325,18.15,card,2021/01/02,11:01:00 PM
326,326,7.03,card,2021/11/20,11:05:00 PM
327,327,82.57,card,2022/02/25,9:24:00 AM
328,328,41.35,voucher,2021/11/25,10:50:00 AM
329,329,24.64,cash,2023/02/09,11:27:00 AM
330,330,12.23,voucher,2023/04/14,3:05:00 PM
331,331,49.53,cash,2022/05/13,12:08:00 AM
332,332,61.29,paypal,2024/03/08,11:43:00 PM
333,333,61.44,voucher,2021/11/02,8:35:00 AM
334,334,41.08,paypal,2021/06/14,4:15:00 AM
335,335,64.49,paypal,2023/02/22,7:22:00 PM
336,336,43.51,cash,2022/11/20,12:59:00 PM
337,337,18.58,card,2022/09/21,6:07:00 PM
338,338,43.16,paypal,2021/12/28,6:50:00 AM
339,339,8.5,card,2022/06/27,8:22:00 AM
340,340,60.08,card,2021/07/27,12:42:00 AM
343,343,64.93,paypal,2023/12/09,4:09:00 AM
344,344,40.36,cash,2022/02/25,2:44:00 PM
346,346,64.75,paypal,2024/03/12,4:02:00 AM
347,347,32.32,card,2021/08/23,3:21:00 PM
349,349,45.99,card,2024/07/17,2:33:00 AM
350,350,52.54,paypal,2024/07/10,11:36:00 PM
351,351,26.59,voucher,2021/06/04,4:37:00 AM
352,352,43.08,cash,2022/09/13,10:53:00 AM
353,353,25.74,paypal,2021/02/24,4:07:00 PM
355,355,44.54,voucher,2021/02/18,11:15:00 AM
356,356,56.63,card,2021/05/29,7:43:00 PM
358,358,13.51,paypal,2024/03/15,5:00:00 AM
360,360,29.64,paypal,2021/04/28,10:58:00 AM
361,361,66.23,card,2024/07/03,12:28:00 PM
362,362,13.79,cash,2023/06/04,4:55:00 PM
363,363,18.11,voucher,2022/04/22,12:09:00 AM
364,364,3.51,card,2024/08/24,1:35:00 AM
366,366,33.62,voucher,2024/02/13,1:58:00 AM
367,367,41.78,paypal,2024/08/01,10:39:00 PM
368,368,75.94,cash,2023/09/24,3:56:00 PM
369,369,57.96,voucher,2022/09/28,9:18:00 AM
370,370,19.98,card,2023/11/18,10:01:00 PM
372,372,34.37,cash,2024/12/15,11:04:00 PM
373,373,50.04,voucher,2022/09/21,2:40:00 PM
374,374,15.89,cash,2023/01/15,2:06:00 AM
375,375,25.59,voucher,2021/04/02,8:33:00 AM
